implementation,msg_size,threads,throughput_gbps,latency_us,cpu_cycles,l1_cache_misses,llc_cache_misses,context_switches
two_copy,1024,1,4.0526,1.98,28409387214,577269830,53160,1203950
two_copy,1024,2,7.2182,2.23,53656869628,1029931837,98894,1941694
two_copy,1024,4,11.5245,2.81,98527099274,1711321895,2138200,2467585
two_copy,1024,8,15.0278,4.35,109793973569,2082553008,5956697,3929514
two_copy,4096,1,9.3792,3.45,30325097820,779338898,1230150,926993
two_copy,4096,2,17.6207,3.68,56040832104,1413689479,10448268,1640263
two_copy,4096,4,29.5292,4.41,101208068905,2427089286,44118371,2087803
two_copy,4096,8,36.8553,7.10,108870743100,2939790466,88090261,3122686
two_copy,16384,1,28.4381,4.57,28859351339,1769295799,909243,941442
two_copy,16384,2,47.3265,5.49,51900679772,2977526770,10496775,1508885
two_copy,16384,4,75.9788,6.85,98551822991,4974295487,57809312,1913540
two_copy,16384,8,92.0485,11.36,156666506085,5200660043,476376937,1513207
two_copy,65536,1,62.1391,8.40,23476236000,3125631810,189089,1167046
two_copy,65536,2,108.8889,9.59,45003458263,5449930292,1543057,1886938
two_copy,65536,4,153.0088,13.65,96926798753,7529531143,149433240,1991288
two_copy,65536,8,72.6156,58.05,196179908915,3303499054,667555881,46606
one_copy,1024,1,3.4985,2.30,26197036869,496639759,53414,1269609
one_copy,1024,2,6.1208,2.63,48722854030,954098969,91160,2148521
one_copy,1024,4,9.5012,3.40,89230041679,1628522965,635681,2734496
one_copy,1024,8,13.1207,4.94,98416276944,1907946837,3725831,3398853
one_copy,4096,1,8.1453,3.98,27534989237,733215188,117170,1072824
one_copy,4096,2,14.1012,4.61,51645900273,1276592518,1875381,1687675
one_copy,4096,4,22.5464,5.76,99784457869,2281813026,3324740,1985056
one_copy,4096,8,32.1907,8.10,102657945724,2810026191,46261691,3419583
one_copy,16384,1,28.1047,4.62,28329702835,1785901298,114923,1047254
one_copy,16384,2,45.7111,5.69,48985099619,2914253291,527981,1644095
one_copy,16384,4,70.8288,7.35,93626222496,4771729282,28288049,1917276
one_copy,16384,8,102.6077,10.19,117789647445,6435956809,220589378,3169609
one_copy,65536,1,60.8287,8.58,23015665302,3055557158,1269528,1139720
one_copy,65536,2,99.6969,10.47,43351238096,5006103101,1011599,1703889
one_copy,65536,4,136.3410,15.33,97692143076,6678734522,184252608,1622218
one_copy,65536,8,70.7146,59.80,191305459679,3186368062,664411683,50031
zero_copy,1024,1,2.5996,3.11,24757792086,530650268,341260,1196035
zero_copy,1024,2,4.5659,3.54,46163384665,950464152,479383,1914164
zero_copy,1024,4,5.8069,5.59,73148978327,1566456189,492183,3259553
zero_copy,1024,8,6.5312,9.98,93038256848,2228646062,243996,4472138
zero_copy,4096,1,5.8627,5.55,22013698281,640697434,125821,1583067
zero_copy,4096,2,9.7800,6.66,42354463995,1144758217,236086,2287885
zero_copy,4096,4,14.3599,9.07,77471874237,1963815186,433265,2781589
zero_copy,4096,8,22.8114,11.54,81640174916,2431888693,13874173,3335481
zero_copy,16384,1,19.1856,6.79,22337586104,1401987820,569537,1345718
zero_copy,16384,2,32.6854,7.97,42363440867,2418568878,3854646,1995664
zero_copy,16384,4,50.7948,10.27,76954329003,3826082786,14246940,2500616
zero_copy,16384,8,77.8352,13.41,92296266222,4947629784,154217685,2628984
zero_copy,65536,1,44.2117,11.82,26334615178,2369782107,117846,837758
zero_copy,65536,2,74.1762,14.09,48849374772,3980599653,1052951,1233415
zero_copy,65536,4,108.3720,19.30,86457315997,6073903248,91852926,1507846
zero_copy,65536,8,55.4221,75.64,272740347885,5777173257,635737610,63354
